cat,nfor,ndefor,rate
1,10024,6,5.987247340610846e-05
2,9036,39,0.0004324474846978399
3,9979,128,0.001290158232211569
4,14766,255,0.001740509366526255
5,14392,216,0.0015110674647182964
6,12232,165,0.0013571796510983836
7,11796,179,0.0015279263722940417
8,15700,239,0.0015328228485769202
9,9819,253,0.0026070097252983704
10,15557,491,0.003201877890883109
11,14796,454,0.0031116067369532097
12,13712,498,0.003692614294565244
13,13345,492,0.0037494069273537045
14,11858,507,0.00436015674683321
15,15453,673,0.004442925249171781
16,13488,735,0.005587716633772555
17,13396,724,0.005540725231859112
18,13709,1020,0.007701894737445314
19,12224,932,0.007899307391941779
20,12959,1045,0.008372389508755074
21,12839,1026,0.00829409200323461
22,14263,1328,0.009725593116618025
23,13027,1391,0.011228522839254018
24,15080,2028,0.014339001479057978
25,12338,1792,0.015571224093459457
26,14509,2317,0.017248427676142097
27,12826,1858,0.015527428716984759
28,13601,2305,0.018398113642289604
29,13245,2679,0.022344462758847383
30,13606,3839,0.032606706914997896
