distance,npix,area,cum,perc
30,24937,2244.33,2244.33,83.58304005362828
60,3451,310.59,2554.92,95.14999162057985
90,1001,90.09,2645.01,98.50511144628791
120,282,25.38,2670.3900000000003,99.45031003854535
150,102,9.18,2679.57,99.79219038042567
180,29,2.61,2682.1800000000003,99.88939165409754
210,14,1.26,2683.4400000000005,99.93631640690467
240,6,0.54,2683.9800000000005,99.95642701525057
270,2,0.18,2684.1600000000003,99.96313055136586
300,3,0.27,2684.4300000000003,99.97318585553879
330,0,0.0,2684.4300000000003,99.97318585553879
360,1,0.09,2684.5200000000004,99.97653762359647
390,4,0.36,2684.8800000000006,99.98994469582706
420,1,0.09,2684.9700000000007,99.99329646388472
450,0,0.0,2684.9700000000007,99.99329646388472
480,1,0.09,2685.060000000001,99.99664823194237
510,0,0.0,2685.060000000001,99.99664823194237
540,0,0.0,2685.060000000001,99.99664823194237
570,0,0.0,2685.060000000001,99.99664823194237
600,0,0.0,2685.060000000001,99.99664823194237
630,0,0.0,2685.060000000001,99.99664823194237
660,0,0.0,2685.060000000001,99.99664823194237
690,1,0.09,2685.150000000001,100.00000000000004
720,0,0.0,2685.150000000001,100.00000000000004
750,0,0.0,2685.150000000001,100.00000000000004
780,0,0.0,2685.150000000001,100.00000000000004
810,0,0.0,2685.150000000001,100.00000000000004
840,0,0.0,2685.150000000001,100.00000000000004
870,0,0.0,2685.150000000001,100.00000000000004
900,0,0.0,2685.150000000001,100.00000000000004
930,0,0.0,2685.150000000001,100.00000000000004
960,0,0.0,2685.150000000001,100.00000000000004
990,0,0.0,2685.150000000001,100.00000000000004
1020,0,0.0,2685.150000000001,100.00000000000004
1050,0,0.0,2685.150000000001,100.00000000000004
