distance,npix,area,cum,perc
30,52150,4693.5,4693.5,73.66755661030358
60,10755,967.95,5661.45,88.86016584029043
90,4192,377.28,6038.73,94.78182254806403
120,1654,148.86,6187.589999999999,97.11827774717123
150,968,87.12,6274.709999999999,98.48568320831743
180,402,36.18,6310.889999999999,99.05355200519841
210,233,20.97,6331.86,99.38268988995777
240,149,13.41,6345.2699999999995,99.59316862313007
270,100,9.0,6354.2699999999995,99.73442951787658
300,46,4.14,6358.41,99.79940952945996
330,24,2.16,6360.57,99.83331214419913
360,15,1.35,6361.92,99.8545012784111
390,19,1.71,6363.63,99.88134084841295
420,22,1.98,6365.61,99.91241824525717
450,17,1.53,6367.139999999999,99.93643259736407
480,8,0.72,6367.86,99.9477334689438
510,2,0.18,6368.04,99.95055868683873
540,5,0.45,6368.49,99.95762173157605
570,1,0.09,6368.58,99.95903434052352
600,0,0.0,6368.58,99.95903434052352
630,4,0.36,6368.94,99.96468477631338
660,4,0.36,6369.299999999999,99.97033521210322
690,9,0.81,6370.11,99.98304869263042
720,5,0.45,6370.5599999999995,99.99011173736776
750,0,0.0,6370.5599999999995,99.99011173736776
780,0,0.0,6370.5599999999995,99.99011173736776
810,0,0.0,6370.5599999999995,99.99011173736776
840,0,0.0,6370.5599999999995,99.99011173736776
870,0,0.0,6370.5599999999995,99.99011173736776
900,0,0.0,6370.5599999999995,99.99011173736776
930,0,0.0,6370.5599999999995,99.99011173736776
960,0,0.0,6370.5599999999995,99.99011173736776
990,1,0.09,6370.65,99.99152434631522
1020,1,0.09,6370.74,99.99293695526268
1050,1,0.09,6370.83,99.99434956421014
